model,space,game,alpha,c,k_star,fit_r2,k_fit_min
mlp,ram,Breakout,0.6903686859809093,75.62262157011389,20,0.5738989757501476,5
mlp,ram,Pong,-0.4930175115735277,6427.536285003611,51,0.3489156899935426,5
mlp,ram,Boxing,1.2082366149518475,15.401601224840995,14,0.7342828947234753,5
iris,pixel,Breakout,0.8563342157376308,1.0705601603838153,36,0.43503721940899487,5
iris,pixel,Pong,0.1539415522385308,20.637314479598135,51,0.48083355160104024,5
iris,pixel,Boxing,0.29867301101580646,104.32319150990286,51,0.5495578274870005,5
diamond,pixel,Breakout,0.7641655933898488,1.875074730387502,36,0.3933432024264689,5
diamond,pixel,Pong,-0.04811301777838728,289.9468661712544,51,0.25228215311551594,5
diamond,pixel,Boxing,0.5625813674967568,42.325839972927504,23,0.6757092552875105,5
