k,fid,kl_divergence
5,89.004306159344,3.365964221600374
10,84.31344861247747,2.744860841715386
20,87.43197058296872,1.3751979243587305
30,81.4224383119423,3.9309347279030553
50,87.50672152594873,4.1210645366921295
